Source	Sink	Source_Followings	Source_Followers	Sink_Followers	Distance	Common_Followings	Com_Followings_Ratio	Followers_Ratio	Indirect_Followings	Inv_Indirect_Followings	Real
2630160	3382945	10	4	115	3.0	0	0.0	28.75	0	0	0
37351	320447	1376	84	1	3.0	0	0.0	0.011904761904761904	0	0	0
4762830	3123521	2352	1043	5	3.0	0	0.0	0.004793863854266539	0	0	0
323641	981857	0	73	25	inf	0		0.3424657534246575	0	0	0
404163	4022635	33	12	30	4.0	0	0.0	2.5	0	0	0
2134036	4265535	88	30	32	3.0	0	0.0	1.0666666666666667	0	0	0
1098252	4113425	596	216	70	2.0	0	0.0	0.32407407407407407	2	0	0
2891522	2005279	75	18	637	3.0	0	0.0	35.388888888888886	0	0	0
1970580	2510361	404	124	1	3.0	0	0.0	0.008064516129032258	0	0	0
4559284	1012160	187	6	59	3.0	0	0.0	9.833333333333334	0	0	0
3461531	2284436	271	18	76	3.0	0	0.0	4.222222222222222	0	0	0
4054724	3618488	435	20	3	3.0	0	0.0	0.15	0	0	0
2238725	3706145	94	12	43	3.0	0	0.0	3.5833333333333335	0	0	0
3712501	3212610	217	65	86	2.0	14	0.06451612903225806	1.323076923076923	5	12	0
4736846	4141297	21	11	1	5.0	0	0.0	0.09090909090909091	0	0	0
2085859	1566673	100	764	1	3.0	0	0.0	0.0013089005235602095	0	0	0
4082943	1658293	690	74	151	2.0	29	0.042028985507246375	2.0405405405405403	7	1	0
4298476	3964789	32	6	17	3.0	0	0.0	2.8333333333333335	0	0	0
391559	2703584	59	6	9	3.0	5	0.0847457627118644	1.5	0	1	0
2704966	1200801	560	139	10	3.0	0	0.0	0.07194244604316546	0	0	0
4562173	135	101	16	10	3.0	0	0.0	0.625	0	0	0
1282718	2389144	11	71	38	4.0	0	0.0	0.5352112676056338	0	0	0
3990263	3783357	4	3	238	3.0	0	0.0	79.33333333333333	0	0	0
2339830	359260	33	2	67	3.0	0	0.0	33.5	0	0	0
1706762	1325250	631	87	35	3.0	0	0.0	0.40229885057471265	0	0	0
1176973	4613253	0	3	50	inf	0		16.666666666666668	0	0	0
308504	1228727	408	61	343	2.0	1	0.0024509803921568627	5.622950819672131	7	0	0
2902062	2945335	4	2	63	4.0	0	0.0	31.5	0	0	0
2501369	3133620	210	24	91	3.0	0	0.0	3.7916666666666665	0	0	0
4705188	4467395	8658	336	2084	2.0	643	0.07426657426657426	6.2023809523809526	102	100	0
