Source	Sink	Source_Followings	Source_Followers	Sink_Followers	Distance	Real	Common_Followings	Com_Followings_Ratio	Followers_Ratio	Indirect_Followings	Inv_Indirect_Followings
250102	3986607	4350	189	197	1	1	0	0.0	1.0423280423280423	66	0
995616	820259	12	8	88	1	1	2	0.16666666666666666	11.0	3	0
3847046	667777	958	164	54	1	1	0	0.0	0.32926829268292684	13	0
3956897	1234537	37	34	26	1	1	2	0.05405405405405406	0.7647058823529411	0	0
290670	2821318	3851	252	46	1	1	0	0.0	0.18253968253968253	20	0
4580585	572390	97	26	91	1	1	6	0.061855670103092786	3.5	2	2
3457745	906915	1864	219	15	1	1	0	0.0	0.0684931506849315	10	0
3921152	3314815	19	8	272	1	1	12	0.631578947368421	34.0	6	6
2778813	2964109	4665	111	121	1	1	0	0.0	1.09009009009009	85	0
3753643	2356340	2001	247	19	1	1	12	0.005997001499250375	0.07692307692307693	6	2
1634906	2141342	356	37	3	1	1	0	0.0	0.08108108108108109	1	0
1919853	1626413	326	27	4	1	1	0	0.0	0.14814814814814814	2	0
1243539	4467395	741	104	2084	1	1	104	0.14035087719298245	20.03846153846154	34	32
3236599	4717971	197	36	2	1	1	0	0.0	0.05555555555555555	1	0
889330	2637820	1591	148	59	1	1	0	0.0	0.39864864864864863	3	0
2203594	2347136	536	39	10	1	1	0	0.0	0.2564102564102564	0	0
3868302	1826025	314	164	57	1	1	0	0.0	0.3475609756097561	4	0
2682050	4595621	198	4	1	1	1	0	0.0	0.25	0	0
1375875	3972031	1950	440	1	1	1	0	0.0	0.0022727272727272726	0	0
1108996	3419294	92	77	1	1	1	0	0.0	0.012987012987012988	0	0
4629176	463606	9211	2058	35	1	1	0	0.0	0.017006802721088437	13	0
3525386	4820190	297	13	28	1	1	0	0.0	2.1538461538461537	0	0
1517818	2318057	70	15	42	1	1	0	0.0	2.8	1	0
1407397	1903637	397	161	26	1	1	0	0.0	0.16149068322981366	2	0
4361971	2013943	27	6	135	1	1	11	0.4074074074074074	22.5	10	5
2101710	3159135	6934	152	129	1	1	0	0.0	0.8486842105263158	63	0
3845171	3121804	25	4	2	1	1	0	0.0	0.5	0	0
3846758	2791796	791	192	369	1	1	10	0.012642225031605562	1.921875	12	5
2015479	2601795	740	232	172	1	1	0	0.0	0.7413793103448276	17	0
922544	3130983	133	18	7	1	1	0	0.0	0.3888888888888889	1	0
2067691	1895382	52	4	227	1	1	2	0.038461538461538464	56.75	0	0
4394124	4073343	88	29	88	1	1	6	0.06818181818181818	3.0344827586206895	6	3
3991124	3851323	212	82	1	1	1	0	0.0	0.012195121951219513	0	0
3454216	3325194	449	89	141	1	1	0	0.0	1.5842696629213484	17	0
3009387	1663869	12	8	117	1	1	2	0.16666666666666666	14.625	1	2
574509	1285310	234	68	68	1	1	0	0.0	1.0	0	0
1372535	3836080	3150	177	1197	1	1	1029	0.32666666666666666	6.762711864406779	103	88
1036965	1196749	46	6	2	1	1	0	0.0	0.3333333333333333	0	0
4629176	2712848	9211	2058	73	1	1	0	0.0	0.03547133138969873	31	0
3338112	4089144	409	25	81	1	1	0	0.0	3.24	9	0
993164	2611026	42	1	245	1	1	0	0.0	245.0	0	0
2388338	4331995	169	8	1	1	1	0	0.0	0.125	0	0
3843967	4357366	105	8	6	1	1	0	0.0	0.75	0	0
2812015	4022109	411	110	89	1	1	0	0.0	0.8090909090909091	20	0
1899977	197153	199	20	4	1	1	0	0.0	0.2	0	0
159742	4208653	404	134	1820	1	1	118	0.29207920792079206	13.582089552238806	94	78
3501677	4839801	127	33	2	1	1	0	0.0	0.06060606060606061	0	0
3519021	2815975	97	22	5	1	1	0	0.0	0.22727272727272727	1	0
2526379	2410720	56	3	101	1	1	0	0.0	33.666666666666664	0	0
2373866	3428484	255	142	48	1	1	0	0.0	0.3380281690140845	4	0
89251	3108287	319	16	13	1	1	0	0.0	0.8125	0	0
4565849	353465	93	57	3	1	1	0	0.0	0.05263157894736842	1	0
3403719	1803844	450	27	35	1	1	0	0.0	1.2962962962962963	0	0
2536472	1778776	9726	344	50	1	1	0	0.0	0.14534883720930233	6	0
941958	2106877	102	14	1	1	1	0	0.0	0.07142857142857142	0	0
3708550	484849	1251	139	48	1	1	181	0.14468425259792167	0.34532374100719426	31	32
3629607	828408	20	1	5	1	1	0	0.0	5.0	0	0
2686984	4030220	436	30	20	1	1	0	0.0	0.6666666666666666	4	0
3124898	2799538	71	16	71	1	1	0	0.0	4.4375	1	0
271575	626368	61	9	672	1	1	0	0.0	74.66666666666667	3	0
4704482	2307351	19	4	191	1	1	1	0.05263157894736842	47.75	1	1
3032800	3446519	83	18	1	1	1	0	0.0	0.05555555555555555	0	0
4705162	3767420	2	6	152	1	1	0	0.0	25.333333333333332	0	0
4558816	771447	674	65	409	1	1	21	0.03115727002967359	6.292307692307692	35	5
1292875	461959	7	1	3	1	1	0	0.0	3.0	0	0
1447488	1852069	89	21	135	1	1	0	0.0	6.428571428571429	9	0
1520840	116029	2950	155	3	1	1	0	0.0	0.01935483870967742	0	0
3114565	712100	636	12	13	1	1	0	0.0	1.0833333333333333	0	0
3662626	2087168	464	52	1	1	1	0	0.0	0.019230769230769232	0	0
3452436	4623161	530	70	306	1	1	0	0.0	4.371428571428571	21	0
2947429	628048	892	19	288	1	1	0	0.0	15.157894736842104	3	0
3036244	4572365	45	2	1	1	1	0	0.0	0.5	0	0
435064	1774989	1031	75	179	1	1	0	0.0	2.3866666666666667	3	0
4506715	3013973	152	54	47	1	1	0	0.0	0.8703703703703703	21	0
655339	4528666	1136	93	187	1	1	0	0.0	2.010752688172043	21	0
4858238	4647955	20	1	136	1	1	0	0.0	136.0	2	0
1936484	1514935	20	165	3	1	1	0	0.0	0.01818181818181818	0	0
4311068	2959800	514	65	336	1	1	0	0.0	5.1692307692307695	16	0
3013612	3287121	137	304	13	1	1	0	0.0	0.04276315789473684	4	0
2614400	3406827	11	31	7	1	1	0	0.0	0.22580645161290322	0	0
2939937	2093894	31	12	191	1	1	0	0.0	15.916666666666666	1	0
2564052	1580988	1292	102	2821	1	1	534	0.413312693498452	27.65686274509804	76	71
3445913	2071827	522	13	9	1	1	0	0.0	0.6923076923076923	0	0
2662183	4767612	146	5	17	1	1	0	0.0	3.4	0	0
2282501	2016286	363	26	126	1	1	0	0.0	4.846153846153846	1	0
4133593	3546897	1900	161	330	1	1	0	0.0	2.049689440993789	77	0
2832140	2714476	55	75	1	1	1	0	0.0	0.013333333333333334	0	0
3002746	149804	3847	286	84	1	1	0	0.0	0.2937062937062937	26	0
2696500	1025227	4128	267	111	1	1	0	0.0	0.4157303370786517	9	0
2181723	2941880	70	7	599	1	1	3	0.04285714285714286	85.57142857142857	4	0
1165497	1949134	1	2	6	1	1	0	0.0	3.0	0	0
3885432	4786617	129	64	1	1	1	0	0.0	0.015625	0	0
2970015	3629556	72	17	832	1	1	0	0.0	48.94117647058823	0	0
1461076	166499	41	10	7	1	1	10	0.24390243902439024	0.7	3	5
4583244	3289791	237	26	16	1	1	0	0.0	0.6153846153846154	0	0
4662054	1629525	103	8	4	1	1	0	0.0	0.5	2	0
895854	360163	102	209	37	1	1	1	0.00980392156862745	0.17703349282296652	3	2
3870944	4709201	158	21	22	1	1	0	0.0	1.0476190476190477	0	0
753076	3134736	305	100	1413	1	1	46	0.15081967213114755	14.13	38	16
301420	3036718	677	51	72	1	1	0	0.0	1.411764705882353	2	0
487046	2077788	774	70	1	1	1	0	0.0	0.014285714285714285	0	0
4256757	43635	172	18	24	1	1	0	0.0	1.3333333333333333	2	0
4448454	364665	517	66	903	1	1	0	0.0	13.681818181818182	13	0
284505	4684218	30	14	46	1	1	0	0.0	3.2857142857142856	4	0
1368976	713325	57	4	31	1	1	7	0.12280701754385964	7.75	6	1
1386511	4362017	485	40	1	1	1	0	0.0	0.025	0	0
4181545	2065809	26	9	49	1	1	13	0.5	5.444444444444445	9	7
2271380	3939662	129	51	134	1	1	0	0.0	2.627450980392157	5	0
4462369	4818002	76	18	153	1	1	21	0.27631578947368424	8.5	13	4
3647925	3954325	99	8	1743	1	1	3	0.030303030303030304	217.875	1	0
3038385	958397	636	73	1351	1	1	0	0.0	18.506849315068493	29	0
3984303	1709582	4489	133	5	1	1	0	0.0	0.03759398496240601	0	0
2209094	4142951	256	18	1	1	1	0	0.0	0.05555555555555555	0	0
2370635	4693230	123	48	118	1	1	8	0.06504065040650407	2.4583333333333335	5	8
2713411	3610466	4638	384	3	1	1	0	0.0	0.0078125	1	0
4842955	3859210	95	69	2	1	1	0	0.0	0.028985507246376812	0	0
2553142	3521384	24	6	568	1	1	3	0.125	94.66666666666667	2	5
4719196	3610736	371	106	3	1	1	0	0.0	0.02830188679245283	2	0
1088937	4131275	65	35	527	1	1	18	0.27692307692307694	15.057142857142857	20	8
